Country,Clicks,Impressions,CTR,Position
India,501,10053,4.98%,17.13
Indonesia,475,7786,6.10%,13.74
Russia,232,3014,7.70%,13.48
Japan,206,3838,5.37%,14.81
France,205,2777,7.38%,11.4
Pakistan,155,2316,6.69%,10.7
Thailand,137,2213,6.19%,9.01
Bangladesh,137,1940,7.06%,11.74
Iran,132,974,13.55%,8.2
Philippines,128,2043,6.27%,11.77
Italy,108,2603,4.15%,18.23
Poland,95,2611,3.64%,16.97
Brazil,95,1664,5.71%,18.08
Malaysia,76,1100,6.91%,9.92
Turkey,73,1286,5.68%,11.75
Mexico,63,1088,5.79%,11.82
Morocco,63,672,9.38%,11.79
Ukraine,62,1631,3.80%,11.41
Taiwan,59,858,6.88%,10.51
South Korea,50,1260,3.97%,13.38
Saudi Arabia,44,708,6.21%,11.63
Vietnam,41,1017,4.03%,13.97
Cambodia,41,483,8.49%,9.39
Egypt,38,768,4.95%,11.56
Nigeria,38,636,5.97%,9.08
United States,35,7969,0.44%,67.68
Argentina,34,470,7.23%,16.05
United Arab Emirates,33,692,4.77%,12.1
Colombia,33,526,6.27%,19.35
Algeria,32,245,13.06%,14.2
Singapore,31,600,5.17%,10.69
Hong Kong,31,469,6.61%,9.94
South Africa,31,461,6.72%,11.83
Israel,28,534,5.24%,15.56
Uzbekistan,28,226,12.39%,9.95
Romania,26,438,5.94%,12.58
Chile,26,335,7.76%,11.19
Peru,24,344,6.98%,13.66
Ireland,24,322,7.45%,14.56
Portugal,22,397,5.54%,10.6
Kazakhstan,20,404,4.95%,8.99
Iraq,19,329,5.78%,13.43
Latvia,19,161,11.80%,10.5
Myanmar (Burma),19,152,12.50%,9.39
Switzerland,17,420,4.05%,19.65
Greece,16,386,4.15%,11.06
Czechia,14,288,4.86%,9.36
Tunisia,14,168,8.33%,11.55
Belarus,13,248,5.24%,9.1
Lithuania,13,227,5.73%,11.01
China,13,198,6.57%,8.97
Sri Lanka,12,278,4.32%,9.02
Hungary,12,264,4.55%,9.54
Serbia,12,196,6.12%,10.88
Venezuela,11,217,5.07%,14.51
Slovakia,10,124,8.06%,8.31
New Zealand,9,300,3%,19.17
Croatia,9,132,6.82%,8.48
United Kingdom,8,2940,0.27%,70.96
Germany,8,1270,0.63%,71.18
Ghana,8,184,4.35%,9.32
Georgia,8,179,4.47%,11.16
Azerbaijan,8,170,4.71%,8.89
Kenya,8,167,4.79%,13.53
Ecuador,8,163,4.91%,11.81
Uganda,8,107,7.48%,7.69
Kyrgyzstan,8,99,8.08%,9.91
Albania,8,77,10.39%,7.95
Unknown Region,8,74,10.81%,9.74
Yemen,8,61,13.11%,9.67
Bulgaria,7,191,3.66%,10.27
Dominican Republic,7,116,6.03%,10.73
Uruguay,7,86,8.14%,10.45
Cameroon,7,47,14.89%,7.51
Afghanistan,7,39,17.95%,7.85
Kuwait,6,105,5.71%,9.83
Moldova,6,77,7.79%,8.57
Ethiopia,5,129,3.88%,9.43
Armenia,5,101,4.95%,9.62
Syria,5,70,7.14%,9.53
Zimbabwe,5,30,16.67%,7.8
Tajikistan,5,20,25%,8.5
Australia,4,266,1.50%,61.34
